GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit5-mps-uma,default,ClubDeportivoMain,73,0,0,0,15,0,2,0,2,0
junit5-mps-uma,clubdeportivo,ClubDeportivoAltoRendimiento,0,110,0,12,0,27,0,10,0,4
junit5-mps-uma,clubdeportivo,ClubException,3,4,0,0,2,2,1,1,1,1
junit5-mps-uma,clubdeportivo,ClubDeportivo,0,284,0,36,0,67,0,27,0,9
junit5-mps-uma,clubdeportivo,Grupo,0,144,0,22,0,32,0,23,0,12
